,nome,anno,subs,flag,legislatura
0,ABBIATE Mario,1948,0,1,1
1,ADINOLFI Pietro,1948,0,1,1
2,ALBERGANTI Giuseppe,1948,0,1,1
3,ALBERTI Antonio,1948,0,1,1
4,ALBERTI Giuseppe,1948,0,1,1
5,ALDISIO Salvatore,1948,0,1,1
6,ALLEGATO Luigi,1948,0,1,1
7,ALUNNI PIERUCCI Francesco,1948,0,1,1
8,ANFOSSI Giovanni Secondo,1948,0,1,1
9,ANGELINI Cesare,1948,0,1,1
10,ANGELINI Nicola,1948,0,1,1
11,ANGIOLILLO Renato,1948,0,1,1
12,ARMATO Arturo,1948,0,1,1
13,ASQUINI Giuseppe,1948,0,1,1
14,AZARA Antonio,1948,0,1,1
0,BANFI Antonio,1948,0,1,1
1,BARACCO Leopoldo,1948,0,1,1
2,BARBARESCHI Gaetano,1948,0,1,1
3,BARDINI Vittorio,1948,0,1,1
4,BAREGGI Antonio,1948,1,1,1
5,BARONTINI Ilio,1948,1,1,1
6,BASTIANETTO Celeste,1948,0,1,1
7,BATTISTA Emilio,1948,0,1,1
8,BEI Adele,1948,0,1,1
9,BELLORA Pietro,1948,0,1,1
10,BELTRAND Spartaco,1948,0,1,1
11,BENCIVENGA Roberto,1948,1,1,1
12,BENEDETTI Luigi,1948,0,1,1
13,BENEDETTI Tullio,1948,0,1,1
14,BERGAMINI Alberto,1948,0,1,1
15,BERGMANN Giulio,1948,0,1,1
16,BERLINGUER Mario,1948,0,1,1
17,BERTINI Giovanni,1948,1,1,1
18,BERTONE Giovanni Battista,1948,0,1,1
19,BIBOLOTTI Aladino,1948,1,1,1
20,BISORI Guido,1948,0,1,1
21,BITOSSI Renato,1948,0,1,1
22,BO Giorgio,1948,0,1,1
23,BOCCASSI Carlo,1948,0,1,1
24,BOCCONI Alessandro,1948,0,1,1
25,BOERI Giovanni Battista,1948,0,1,1
26,BOGGIANO PICO Antonio,1948,0,1,1
27,BOLOGNESI Severino,1948,0,1,1
28,BONOMI Ivanoe,1948,1,1,1
29,BONTEMPELLI Massimo,1948,1,1,1
30,BORROMEO Luigi,1948,0,1,1
31,BOSCO Giacinto,1948,0,1,1
32,BOSCO LUCARELLI Giambattista,1948,0,1,1
33,BOSI Ilio,1948,0,1,1
34,BRACCESI Giorgio,1948,0,1,1
35,BRAITENBERG Carlo,1948,0,1,1
36,BRASCHI Giovanni,1948,0,1,1
37,BRUNA Settimio,1948,0,1,1
38,BUBBIO Teodoro,1948,0,1,1
39,BUFFONI Francesco,1948,1,1,1
40,BUIZZA Angelo,1948,0,1,1
41,BUONOCORE Giuseppe,1948,1,1,1
0,CADORNA Raffaele,1948,0,1,1
1,CALDERA Carlo,1948,0,1,1
2,CAMINITI Filippo,1948,0,1,1
3,CANALETTI GAUDENTI Alberto,1948,0,1,1
4,CANEPA Giuseppe,1948,1,1,1
5,CANEVARI Emilio,1948,0,1,1
6,CANONICA Pietro,1948,1,1,1
7,CAPORALI Raffaele,1948,0,1,1
8,CAPPA Paolo,1948,0,1,1
9,CAPPELLINI Egisto,1948,0,1,1
10,CARBONARI Luigi,1948,0,1,1
11,CARBONI Enrico,1948,0,1,1
12,CARELLI Mario,1948,0,1,1
13,CARISTIA Carmelo,1948,0,1,1
14,CARMAGNOLA Luigi,1948,0,1,1
15,CARON Giuseppe,1948,0,1,1
16,CARRARA Giovanni,1948,0,1,1
17,CASADEI Giuseppe,1948,0,1,1
18,CASARDI Ferdinando,1948,0,1,1
19,CASATI Alessandro,1948,0,1,1
20,CASO Giovanni,1948,0,1,1
21,CASSITTA Antonio,1948,1,1,1
22,CASTAGNO Luigi,1948,0,1,1
23,CASTELNUOVO Guido,1948,1,1,1
24,CAVALLERA Giuseppe,1948,1,1,1
25,CEMMI Angelo,1948,0,1,1
26,CERICA Angelo,1948,0,1,1
27,CERMENATI Giacomo Attilio,1948,0,1,1
28,CERMIGNANI Armando,1948,0,1,1
29,CERRUTI Carlo,1948,0,1,1
30,CERULLI IRELLI Giuseppe,1948,0,1,1
31,CESCHI Stanislao,1948,0,1,1
