,Professione,Senatori,anno
0,Avvocato,129,1948
1,Docente universitario,42,1948
2,Medico,22,1948
3,Pubblicista,17,1948
4,Insegnante,16,1948
5,Giornalista,14,1948
6,Industriale,14,1948
7,Agricoltore,13,1948
8,Ingegnere,13,1948
9,Dirigente,12,1948
10,Impiegato,11,1948
11,Operaio,9,1948
12,Sindacalista o esponente di associazione,9,1948
13,Altra professione intellettuale o scientifica,6,1948
14,Magistrato,6,1948
15,Tecnico,5,1948
16,Amministratore o manager,3,1948
17,Artigiano,3,1948
18,Funzionario di partito,3,1948
19,Militare di carriera,3,1948
20,Ragioniere,3,1948
21,Artista o professionista dello spettacolo,2,1948
22,Diplomatico,2,1948
23,Farmacista,2,1948
24,Notaio,2,1948
25,Appartenente alle forze dell'ordine e di sicurezza,1,1948
26,Architetto,1,1948
27,Assicuratore,1,1948
28,Commercialista,1,1948
29,Commerciante,1,1948
30,Consulente,1,1948
31,Imprenditore,1,1948
0,Avvocato,86,1953
1,Docente universitario,28,1953
2,Medico,17,1953
3,Pubblicista,16,1953
4,Impiegato,12,1953
5,Giornalista,11,1953
6,Industriale,10,1953
7,Agricoltore,8,1953
8,Militare di carriera,8,1953
9,Operaio,8,1953
10,Sindacalista o esponente di associazione,8,1953
11,Dirigente,7,1953
12,Insegnante,7,1953
13,Commercialista,6,1953
14,Ingegnere,5,1953
15,Artigiano,4,1953
16,Magistrato,4,1953
17,Altra professione intellettuale o scientifica,3,1953
18,Amministratore o manager,3,1953
19,Notaio,3,1953
20,Commerciante,2,1953
21,Diplomatico,2,1953
22,Agente o rappresentante,1,1953
23,Artista o professionista dello spettacolo,1,1953
24,Assicuratore,1,1953
25,Funzionario di partito,1,1953
26,Imprenditore,1,1953
27,Ragioniere,1,1953
28,Tecnico,1,1953
0,Avvocato,83,1958
1,Docente universitario,24,1958
2,Pubblicista,18,1958
3,Medico,17,1958
4,Insegnante,16,1958
5,Impiegato,14,1958
6,Dirigente,12,1958
7,Giornalista,10,1958
8,Ingegnere,10,1958
9,Agricoltore,8,1958
10,Commercialista,7,1958
11,Industriale,6,1958
12,Operaio,6,1958
13,Sindacalista o esponente di associazione,6,1958
14,Artigiano,4,1958
15,Tecnico,4,1958
16,Altra professione intellettuale o scientifica,3,1958
17,Funzionario di partito,3,1958
18,Notaio,3,1958
19,Ragioniere,3,1958
20,Diplomatico,2,1958
21,Magistrato,2,1958
22,Militare di carriera,2,1958
23,Artista o professionista dello spettacolo,1,1958
24,Commerciante,1,1958
25,Imprenditore,1,1958
0,Avvocato,92,1963
1,Insegnante,34,1963
2,Docente universitario,31,1963
3,Medico,28,1963
4,Impiegato,19,1963
5,Giornalista,16,1963
6,Sindacalista o esponente di associazione,16,1963
7,Pubblicista,14,1963
8,Dirigente,12,1963
9,Ingegnere,12,1963
10,Commercialista,10,1963
11,Operaio,8,1963
12,Agricoltore,6,1963
13,Industriale,6,1963
14,Altra professione intellettuale o scientifica,5,1963
15,Funzionario di partito,5,1963
16,Tecnico,5,1963
17,Commerciante,4,1963
18,Notaio,4,1963
19,Artista o professionista dello spettacolo,2,1963
20,Ragioniere,2,1963
21,Agente o rappresentante,1,1963
22,Amministratore o manager,1,1963
23,Assicuratore,1,1963
24,Consulente,1,1963
25,Diplomatico,1,1963
26,Farmacista,1,1963
27,Imprenditore,1,1963
28,Magistrato,1,1963
29,Militare di carriera,1,1963
30,Ricercatore,1,1963
0,Avvocato,77,1968
1,Insegnante,41,1968
2,Impiegato,32,1968
3,Dirigente,25,1968
4,Sindacalista o esponente di associazione,24,1968
5,Docente universitario,20,1968
6,Medico,15,1968
7,Giornalista,14,1968
8,Pubblicista,14,1968
9,Funzionario di partito,10,1968
10,Operaio,9,1968
11,Ingegnere,8,1968
12,Altra professione intellettuale o scientifica,7,1968
13,Commercialista,6,1968
14,Commerciante,5,1968
15,Agricoltore,4,1968
16,Notaio,4,1968
17,Industriale,3,1968
18,Assicuratore,2,1968
19,Farmacista,2,1968
20,Magistrato,2,1968
21,Militare di carriera,2,1968
22,Tecnico,2,1968
23,Agente o rappresentante,1,1968
24,Amministratore o manager,1,1968
25,Artigiano,1,1968
26,Artista o professionista dello spettacolo,1,1968
27,Consulente,1,1968
28,Imprenditore,1,1968
29,Ragioniere,1,1968
30,Ricercatore,1,1968
0,Avvocato,74,1972
1,Insegnante,45,1972
2,Impiegato,32,1972
3,Dirigente,26,1972
4,Funzionario di partito,22,1972
5,Docente universitario,20,1972
6,Pubblicista,19,1972
7,Sindacalista o esponente di associazione,16,1972
8,Giornalista,15,1972
9,Medico,14,1972
10,Ingegnere,7,1972
11,Commercialista,5,1972
12,Notaio,5,1972
13,Operaio,5,1972
14,Altra professione intellettuale o scientifica,4,1972
15,Industriale,4,1972
16,Consulente,3,1972
17,Tecnico,3,1972
18,Agricoltore,2,1972
19,Amministratore o manager,2,1972
20,Artigiano,2,1972
21,Assicuratore,2,1972
22,Farmacista,2,1972
23,Imprenditore,2,1972
24,Magistrato,2,1972
25,Agente o rappresentante,1,1972
26,Architetto,1,1972
27,Commerciante,1,1972
28,Militare di carriera,1,1972
29,Ragioniere,1,1972
30,Ricercatore,1,1972
0,Avvocato,62,1976
1,Insegnante,39,1976
2,Impiegato,35,1976
3,Dirigente,31,1976
4,Docente universitario,28,1976
5,Giornalista,24,1976
6,Sindacalista o esponente di associazione,23,1976
7,Funzionario di partito,18,1976
8,Pubblicista,17,1976
9,Medico,15,1976
10,Operaio,9,1976
11,Ingegnere,5,1976
12,Magistrato,5,1976
13,Altra professione intellettuale o scientifica,4,1976
14,Imprenditore,4,1976
15,Industriale,4,1976
16,Amministratore o manager,3,1976
17,Tecnico,3,1976
18,Agente o rappresentante,2,1976
19,Agricoltore,2,1976
20,Artista o professionista dello spettacolo,2,1976
21,Consulente,2,1976
22,Notaio,2,1976
23,Artigiano,1,1976
24,Commerciante,1,1976
25,Farmacista,1,1976
26,Militare di carriera,1,1976
0,Avvocato,51,1979
1,Impiegato,36,1979
2,Insegnante,33,1979
3,Dirigente,30,1979
4,Giornalista,23,1979
5,Docente universitario,20,1979
6,Funzionario di partito,18,1979
7,Medico,15,1979
8,Pubblicista,15,1979
9,Sindacalista o esponente di associazione,14,1979
10,Operaio,10,1979
11,Ingegnere,7,1979
12,Tecnico,7,1979
13,Imprenditore,6,1979
14,Magistrato,6,1979
15,Altra professione intellettuale o scientifica,3,1979
16,Consulente,3,1979
17,Notaio,3,1979
18,Ragioniere,3,1979
19,Agente o rappresentante,2,1979
20,Agricoltore,2,1979
21,Artista o professionista dello spettacolo,2,1979
22,Commercialista,2,1979
23,Industriale,2,1979
24,Amministratore o manager,1,1979
25,Assicuratore,1,1979
26,Farmacista,1,1979
27,Militare di carriera,1,1979
0,Avvocato,57,1983
1,Docente universitario,40,1983
2,Insegnante,33,1983
3,Impiegato,28,1983
4,Dirigente,27,1983
5,Medico,22,1983
6,Giornalista,20,1983
